id,cliente_id,data_pedido,status,valor_total,canal_venda,cupom_desconto
1,682,2024-05-18,em_transito,11685.63,marketplace,sim
2,7,2023-08-12,entregue,19156.08,site,não
3,1195,2024-02-17,entregue,11832.56,app,não
4,2328,2023-05-05,entregue,7134.44,app,sim
5,379,2024-10-04,entregue,6289.65,site,não
6,2384,2024-08-14,entregue,8772.6,marketplace,sim
7,1380,2023-03-26,entregue,5513.2,marketplace,não
8,95,2024-08-26,entregue,5883.88,marketplace,não
9,2962,2024-04-01,entregue,1650.36,site,sim
10,2646,2023-09-23,entregue,3472.54,app,não
11,75,2023-09-24,entregue,13787.5,marketplace,sim
12,1692,2024-04-02,entregue,11393.2,app,não
13,2884,2024-02-19,entregue,4646.89,app,sim
14,1094,2023-01-17,cancelado,10010.24,site,sim
15,565,2024-06-09,entregue,21720.73,app,não
16,1602,2024-06-27,entregue,17849.01,app,sim
17,557,2024-01-03,em_transito,22644.84,marketplace,sim
18,1411,2023-01-18,entregue,613.31,site,não
19,2260,2023-04-20,cancelado,9189.8,marketplace,sim
20,2587,2023-12-21,entregue,8049.28,marketplace,não
21,130,2023-11-20,entregue,5247.96,site,não
22,524,2024-06-18,entregue,14067.65,site,não
23,720,2023-05-11,cancelado,3906.51,marketplace,não
24,513,2023-11-29,em_transito,8597.46,app,sim
25,1783,2023-08-18,em_transito,14808.86,marketplace,sim
26,1252,2023-05-28,entregue,20132.93,app,não
27,104,2023-11-03,entregue,11485.22,app,não
28,2998,2023-06-02,entregue,5354.18,app,não
29,1679,2023-06-17,cancelado,9005.24,app,sim
30,751,2023-01-04,entregue,876.57,marketplace,não
31,2863,2023-06-06,entregue,23733.96,site,não
32,1675,2024-03-28,entregue,10526.86,marketplace,não
33,2714,2023-03-03,entregue,10500.4,marketplace,não
34,2091,2024-08-02,em_transito,5062.88,app,sim
35,1114,2023-11-11,entregue,7613.28,site,não
36,625,2023-06-04,entregue,13773.78,site,não
37,1460,2023-09-20,entregue,18495.3,marketplace,não
38,2633,2023-05-07,entregue,9004.59,site,não
39,329,2024-04-19,entregue,18160.51,site,sim
40,2774,2023-10-22,entregue,9189.64,marketplace,sim
41,2404,2024-07-03,em_transito,2484.74,site,não
42,403,2023-02-14,entregue,9334.84,site,não
43,1143,2023-11-24,entregue,15232.06,site,sim
44,2163,2023-09-03,entregue,16392.36,app,não
